"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-07-31,79729,"49411","MI","Ludington","Mason","Free Soil",14465,102800,-0.00484027105517909,-0.0200190657769304,-0.0200190657769304,,,"2017-10","2017-Q4",107600,-0.0446096654275093,"2017-05"
2018-07-31,59127,"03449","NH","Manchester","Hillsborough","Hancock",14466,273500,0.00922509225092251,0.0235778443113772,0.0662768031189084,,,"2005-12","2005-Q4",285500,-0.042031523642732,"2005-02"
2018-07-31,63728,"14781","NY","Jamestown","Chautauqua","Sherman",14467,83800,-0.0244470314318976,-0.081140350877193,0.00721153846153846,,,"2018-04","2018-Q2",91200,-0.081140350877193,"2018-02"
2018-07-31,73169,"34681","FL","Tampa","Pinellas","Palm Harbor",14468,362200,0.00221361372440509,-0.00220385674931129,0.0926093514328808,,,"2006-05","2006-Q2",385700,-0.0609281825252787,"2005-12"
2018-07-31,84724,"60941","IL","Kankakee","Kankakee","Herscher",14469,124200,-0.00480769230769231,0.0341382181515404,0.0072992700729927,,,"2006-02","2006-Q1",157300,-0.210425937698665,"2001-01"
2018-07-31,94311,"83804","ID","Sandpoint","Bonner","Blanchard",14470,220300,0.00364464692482916,0.0203798054654933,0.0535628885700622,,,"2018-07","2018-Q3",220300,0,"2018-07"
2018-07-31,62393,"12093","NY","Albany","Schoharie","Jefferson",14471,127200,0.000786782061369001,0.00632911392405063,-0.0108864696734059,,,"2017-04","2017-Q2",129500,-0.0177606177606178,"2016-11"
2018-07-31,63417,"14101","NY","Olean","Cattaraugus","Machias",14472,93100,0.0010752688172043,0.00866738894907909,0.0519774011299435,,,"2018-07","2018-Q3",93100,0,"2018-07"
2018-07-31,79764,"49452","MI",,"Oceana","Rothbury",14473,62900,-0.00158730158730159,-0.00474683544303797,0.0571428571428571,,,"2006-05","2006-Q2",65000,-0.0323076923076923,"2005-05"
2018-07-31,79896,"49726","MI","Sault Ste. Marie","Chippewa","Paradise",14474,113100,-0.00702370500438982,-0.00789473684210526,-0.00176522506619594,,,"2017-10","2017-Q4",116700,-0.0308483290488432,"2016-03"
