"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-07-31,"78245","TX","San Antonio","Bexar","San Antonio",80,1287,-0.00077639751552795,-0.00155159038013964,0.00155642023346304,20431
2018-07-31,"11229","NY","New York","Kings","New York",81,2202,-0.00497062810664257,-0.0295284266196562,-0.051271003877639,6602
2018-07-31,"08701","NJ","New York","Ocean","Lakewood",82,2040,-0.000489955903968643,-0.00146842878120411,-0.0092277804759592,13778
2018-07-31,"11207","NY","New York","Kings","New York",83,2200,0.00045475216007276,0.00045475216007276,-0.0134529147982063,2534
2018-07-31,"60619","IL","Chicago","Cook","Chicago",84,1393,0,0.00143781452192667,0,12201
2018-07-31,"90034","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",85,4302,-0.000696864111498258,0.00303100955933784,0.0311601150527325,4631
2018-07-31,"94110","CA","San Francisco","San Francisco","San Francisco",86,4603,0.00130519904285404,0.000652173913043478,0.0176873756356401,6368
2018-07-31,"78666","TX","Austin","Hays","San Marcos",87,1447,0.0013840830449827,0.00416377515614157,-0.0189830508474576,10122
2018-07-31,"30024","GA","Atlanta","Gwinnett","Suwanee",88,1921,-0.00259605399792316,-0.00723514211886305,-0.00363070539419087,21241
2018-07-31,"60610","IL","Chicago","Cook","Chicago",89,1887,0,0.00801282051282051,-0.0768101761252446,1206
2018-07-31,"10019","NY","New York","New York","New York",90,3682,-0.00674399784192069,-0.0243773184949656,-0.0685555274475082,778
2018-07-31,"44107","OH","Cleveland","Cuyahoga","Lakewood",91,1302,0.0023094688221709,0.0038550501156515,-0.0113895216400911,9707
2018-07-31,"75067","TX","Dallas-Fort Worth","Denton","Lewisville",92,1647,0,0.000607533414337789,0.00182481751824818,10535
2018-07-31,"33025","FL","Miami-Fort Lauderdale","Broward","Miramar",93,2012,0.00249128051818635,0.0141129032258064,0.0572779821334735,12090
2018-07-31,"33411","FL","Miami-Fort Lauderdale","Palm Beach","Royal Palm Beach",94,2238,0.00268817204301075,0.0112968820605513,0.0251946862116354,18989
2018-07-31,"33139","FL","Miami-Fort Lauderdale","Miami-Dade","Miami Beach",95,2440,-0.00245298446443173,-0.0165255945183394,-0.0141414141414141,2231
2018-07-31,"11377","NY","New York","Queens","New York",96,2290,-0.00087260034904014,-0.00434782608695652,-0.0442404006677796,2158
2018-07-31,"90044","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",97,2393,0.00419639110365086,-0.00828843762950684,0.00715488215488216,8894
2018-07-31,"48197","MI","Ann Arbor","Washtenaw","Ypsilanti",98,1777,0.00509049773755656,0.0195065978198508,0.130407124681934,13850
2018-07-31,"02169","MA","Boston","Norfolk","Quincy",99,2483,0.00201775625504439,0.00852965069049553,0.0273065784029789,7948
2018-07-31,"23462","VA","Virginia Beach","Virginia Beach City","Virginia Beach",100,1440,0,0.000694927032661571,0.00139082058414465,9492
2018-07-31,"90805","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Long Beach",101,2330,0.00171969045571797,-0.000857632933104631,0.017911751856706,11330
2018-07-31,"66062","KS","Kansas City","Johnson","Olathe",102,1790,0,0.00167879127028539,0.0158910329171396,21747
2018-07-31,"44035","OH","Cleveland","Lorain","Elyria",103,852,0.00235294117647059,0.00235294117647059,-0.0116009280742459,19026
2018-07-31,"95630","CA","Sacramento","Sacramento","Folsom",104,2294,0,0.000436109899694723,0.0013094718463553,19624
2018-07-31,"90650","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Norwalk",105,2340,0,-0.000427167876975651,0.0025706940874036,20089
2018-07-31,"11234","NY","New York","Kings","New York",106,2199,-0.00226860254083485,-0.0161073825503356,-0.027421494913755,11352
2018-07-31,"92683","CA","Los Angeles-Long Beach-Anaheim","Orange","Westminster",107,2851,0.000350877192982456,0.00246132208157525,0.0067090395480226,16590
2018-07-31,"85710","AZ","Tucson","Pima","Tucson",108,1144,0.000874890638670166,0.00175131348511384,0.00527240773286467,13418
2018-07-31,"19143","PA","Philadelphia","Philadelphia","Philadelphia",109,1229,0.000814332247557003,0.00408496732026144,-0.0458074534161491,4001
2018-07-31,"78745","TX","Austin","Travis","Austin",110,1653,0,0.000605326876513317,-0.0148986889153754,13648
2018-07-31,"11355","NY","New York","Queens","New York",111,2483,0,-0.00321156162183862,-0.0281800391389432,2909
2018-07-31,"10314","NY","New York","Richmond","New York",112,2248,-0.000888888888888889,-0.00442869796279894,0.0208900999091735,13071
2018-07-31,"60617","IL","Chicago","Cook","Chicago",113,1366,0.00220102714600147,0.00886262924667651,0.013353115727003,17305
2018-07-31,"30281","GA","Atlanta","Henry","Stockbridge",114,1273,0.001573564122738,0.00871632329635499,0.0769881556683587,20478
2018-07-31,"32210","FL","Jacksonville","Duval","Jacksonville",115,1075,0.00373482726423903,0.0170293282876064,0.035645472061657,18269
2018-07-31,"37075","TN","Nashville","Sumner","Hendersonville",116,1699,0,0,0.00354400472533963,22084
2018-07-31,"94558","CA","Napa","Napa","Napa",117,2938,0.00204638472032742,0.0103163686382393,0.107843137254902,14248
2018-07-31,"60611","IL","Chicago","Cook","Chicago",118,1785,-0.000559910414333707,0.000560538116591928,-0.0490143846563665,724
2018-07-31,"11215","NY","New York","Kings","New York",119,2749,-0.00290170475154153,-0.0122170319798778,-0.0983929157100689,1609
2018-07-31,"90026","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",120,3088,-0.00226171243941842,-0.0243285939968404,-0.0670694864048338,4803
2018-07-31,"85225","AZ","Phoenix","Maricopa","Chandler",121,1393,0,0.00143781452192667,0.0272861356932153,16601
2018-07-31,"91910","CA","San Diego","San Diego","Chula Vista",122,2506,-0.000797448165869219,-0.00119569549621363,0.0108914885034288,11961
2018-07-31,"87111","NM","Albuquerque","Bernalillo","Albuquerque",123,1403,0.00214285714285714,0.0129963898916968,0.0392592592592593,18098
2018-07-31,"28027","NC","Charlotte","Cabarrus","Concord",124,1393,-0.000717360114777619,-0.00641940085592011,0.00432588320115357,19987
2018-07-31,"06010","CT","Hartford","Hartford","Bristol",125,1493,-0.000669344042838019,-0.00133779264214047,-0.00400266844563042,14751
2018-07-31,"78240","TX","San Antonio","Bexar","San Antonio",126,1349,0,0,-0.00148038490007402,11133
2018-07-31,"87114","NM","Albuquerque","Bernalillo","Albuquerque",127,1289,0,-0.000775193798449612,0.0303756994404476,20447
2018-07-31,"89108","NV","Las Vegas","Clark","Las Vegas",128,1219,0.00246710526315789,0.00743801652892562,0.0481513327601032,15042
