"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-07-31,"53549","WI","Watertown","Jefferson","Jefferson",8683,1146,-0.00347826086956522,-0.0137693631669535,-0.0146173688736028,3248
2018-07-31,"08628","NJ","Trenton","Mercer","Ewing",8684,1919,-0.00311688311688312,-0.0194174757281553,0.0229211087420043,2902
2018-07-31,"19072","PA","Philadelphia","Montgomery","Lower Merion",8685,2685,0.00336322869955157,0.0197493353589062,-0.000744324525493115,3809
2018-07-31,"68122","NE","Omaha","Douglas","Omaha",8686,1337,0,0.00224887556221889,0.0136467020470053,6538
2018-07-31,"95948","CA","Chico","Butte","Gridley",8687,1256,0.00399680255795364,0.0104585679806919,0.0423236514522822,2894
2018-07-31,"11366","NY","New York","Queens","New York",8688,2570,-0.00232919254658385,-0.011918492887351,-0.0213252094440213,3948
2018-07-31,"31820","GA","Columbus","Muscogee","Midland",8689,1536,0,0.00261096605744125,0.00589390962671906,3682
2018-07-31,"55121","MN","Minneapolis-St Paul","Dakota","Eagan",8690,1598,0.000626174076393237,0.00313873195229127,0.0263326910725755,1928
2018-07-31,"74010","OK","Tulsa","Creek","Bristow",8691,795,0,0.00252206809583859,-0.0099626400996264,3441
2018-07-31,"28166","NC","Charlotte","Iredell","Troutman",8692,1198,0,-0.000834028356964137,0.0178419711129991,5191
2018-07-31,"34229","FL","North Port-Sarasota-Bradenton","Sarasota","Osprey",8693,2941,0,0.0010211027910143,0.119527978682908,4203
2018-07-31,"31316","GA","Hinesville","Long","Ludowici",8694,1199,0,0,0.00250836120401338,2447
2018-07-31,"24504","VA","Lynchburg","Lynchburg City","Lynchburg",8695,790,0,0,0.0115236875800256,3484
2018-07-31,"35146","AL","Birmingham","Saint Clair","Springville",8696,1335,0,-0.000748502994011976,-0.0125739644970414,3170
2018-07-31,"02375","MA","Providence","Bristol","Easton",8697,2245,0.00178491744756805,0.00944244604316547,0.0988742046010768,3625
2018-07-31,"10707","NY","New York","Westchester","Yonkers",8698,3553,-0.00308641975308642,-0.0100306492059069,-0.0166066980348741,3099
2018-07-31,"38058","TN","Memphis","Tipton","Munford",8699,1176,0.00598802395209581,0.0173010380622837,0.044404973357016,3748
2018-07-31,"40118","KY","Louisville/Jefferson County","Jefferson","Louisville",8700,954,-0.00209205020920502,0.00104931794333683,0.0203208556149733,3173
2018-07-31,"87059","NM","Albuquerque","Bernalillo","Tijeras",8701,1279,-0.00078125,-0.00389408099688474,0.0322841000807102,4257
2018-07-31,"28340","NC","Lumberton","Robeson","Fairmont",8702,832,0.00240963855421687,0.0208588957055215,0.0413016270337922,1577
2018-07-31,"73055","OK","Duncan","Stephens","Marlow",8703,786,0.00383141762452107,0.0168175937904269,-0.0187265917602996,3497
2018-07-31,"97426","OR","Eugene","Lane","Creswell",8704,1426,0.000701754385964912,0.0092002830856334,0.0547337278106509,2003
2018-07-31,"01571","MA","Worcester","Worcester","Dudley",8705,1619,-0.00123380629241209,0.0068407960199005,0.0188797986154814,3629
2018-07-31,"07661","NJ","New York","Bergen","River Edge",8706,2494,0.00120433560818948,0.00362173038229376,-0.0333333333333333,3294
2018-07-31,"34688","FL","Tampa","Pinellas","Tarpon Springs",8707,2136,0,0.00187617260787992,0.054294175715696,3752
2018-07-31,"46540","IN","Elkhart","Elkhart","Middlebury",8708,1229,-0.00243506493506494,-0.0144346431435445,-0.111352133044107,3117
2018-07-31,"33785","FL","Tampa","Pinellas","Indian Rocks Beach",8709,2274,-0.00263157894736842,-0.0121633362293658,0.0350477924442422,6085
2018-07-31,"44074","OH","Cleveland","Lorain","Oberlin",8710,1048,-0.000953288846520496,-0.0019047619047619,-0.0122525918944392,3227
2018-07-31,"60534","IL","Chicago","Cook","Lyons",8711,1473,-0.00067842605156038,0.00546075085324232,0.0158620689655172,3242
2018-07-31,"85615","AZ","Sierra Vista","Cochise","Hereford",8712,1140,0,0.00974313551815766,0.0754716981132075,2319
2018-07-31,"07458","NJ","New York","Bergen","Upper Saddle River",8713,4260,-0.00257550924841957,-0.0148011100832562,-0.0227116311080523,4169
2018-07-31,"11109","NY","New York","New York","New York",8714,2699,-0.0018491124260355,-0.0124405415294548,-0.0744170096021948,2494
2018-07-31,"01107","MA","Springfield","Hampden","Springfield",8715,1249,0.00160384923817161,0.0220949263502455,-0.0008,1533
2018-07-31,"69001","NE",,"Red Willow","McCook",8716,1003,-0.00397219463753724,-0.00199004975124378,0.0591341077085533,2650
2018-07-31,"07456","NJ","New York","Passaic","Ringwood",8717,1984,-0.00351582119537921,-0.00601202404809619,-0.0288790993636809,4502
2018-07-31,"07442","NJ","New York","Passaic","Pompton Lakes",8718,1887,-0.00369588173178458,-0.00422163588390501,0.0553691275167785,3948
2018-07-31,"24605","VA","Bluefield","Tazewell","Bluefield",8719,1020,0.00196463654223969,0.00098135426889107,0,2439
2018-07-31,"25143","WV","Charleston","Kanawha","Nitro",8720,896,0.00223713646532438,0.0112866817155756,-0.00333704115684093,4233
2018-07-31,"25541","WV","Huntington","Cabell","Milton",8721,1112,0.0155251141552511,0.094488188976378,0.105367793240557,2447
2018-07-31,"43410","OH","Fremont","Sandusky","Clyde",8722,990,0,-0.00302114803625378,-0.0471607314725698,3001
2018-07-31,"47348","IN",,"Blackford","Hartford City",8723,699,-0.00142857142857143,-0.00285306704707561,-0.0489795918367347,3513
2018-07-31,"21090","MD","Baltimore","Anne Arundel","Linthicum Heights",8724,1851,-0.00323101777059774,-0.0106894708711919,-0.0237341772151899,3805
2018-07-31,"35824","AL","Huntsville","Madison","Huntsville",8725,1299,0,0.000770416024653313,0.00386398763523957,2153
2018-07-31,"60475","IL","Chicago","Cook","Steger",8726,1290,-0.00154798761609907,-0.0053970701619121,0.0031104199066874,4514
2018-07-31,"73601","OK","Weatherford","Custer","Clinton",8727,808,-0.00123609394313968,-0.00369913686806412,0.00123915737298637,3152
2018-07-31,"02093","MA","Boston","Norfolk","Wrentham",8728,2499,-0.00319106501794974,-0.0207680250783699,0.0036144578313253,3816
2018-07-31,"64105","MO","Kansas City","Jackson","Kansas City",8729,1008,-0.0029673590504451,-0.0078740157480315,0.00900900900900901,1945
2018-07-31,"78408","TX","Corpus Christi","Nueces","Corpus Christi",8730,1100,0,0.00824931255728689,0.0794896957801766,2592
2018-07-31,"32038","FL","Lake City","Columbia","Fort White",8731,1223,-0.000816993464052288,-0.00649878147847279,0.0065843621399177,1663
2018-07-31,"77807","TX","College Station","Brazos","Bryan",8732,1399,-0.000714285714285714,-0.00142755174875089,-0.0642140468227425,2378
2018-07-31,"76085","TX","Dallas-Fort Worth","Parker","Weatherford",8733,1592,0,0.00251889168765743,0.0101522842639594,3115
