"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07"
"11231","New York","NY","New York","New York",177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17647058823529,3.27380952380952,3.11111111111111,3.05882352941176,2.97058823529412,2.92307692307692,2.9328320802005,3.125,3.30277777777778,3.33333333333333,3.2,3.125,3.23529411764706,3.33333333333333,3.29411764705882,3.4,3.13953488372093,3.29294117647059,3.27777777777778,3.27777777777778,3.33333333333333,3.3,3.1125,3.2,3.22727272727273,3.18,3.33333333333333,2.92329545454545,3.125,3.14126506024096,3.26322751322751,3.29411764705882,3.47017543859649,3.46666666666667,3.37980769230769,3.33712121212121,3.30333333333333,3.22222222222222,3.2,3.29411764705882,3.36862367661213,3.375,3.375,3.36491935483871,3.3875,3.36397058823529,3.49083091833341,3.46153846153846
"94123","San Francisco","CA","San Francisco","San Francisco",178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16969696969697,4.39887254901961,4.16666666666667,4.33333333333333,4.54032258064516,4.56428571428571,4.65625,4.86574074074074,4.6875,4.59259259259259,4.99214958606908,5.00558742456977,5.31914893617021,5.27358490566038
"11102","New York","NY","New York","Queens",179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83333333333333,2.8,2.82971014492754,2.83612040133779,2.85357142857143,2.73333333333333,2.83771929824561,2.86111111111111,2.85805046287893,2.86991129469122,2.85092592592593,2.85895806861499,2.87784398699892,2.87107258938245,2.85,2.89655172413793,2.872,2.85888077858881,2.85895806861499,2.85895806861499,2.85895806861499,2.85895806861499,3,2.75,3,3,2.92307692307692,3,2.91666666666667,2.93333333333333,3,3,2.85805046287893,2.86666666666667,2.87107258938245,2.93333333333333,2.8957783641161,2.86359185272229,2.89072543617998,3.05700252798844,2.86259541984733,2.87241129469122,2.86281236764083
"90403","Santa Monica","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.40472972972973,3.48076923076923,3.33171052631579,3.34491228070175,3.4125,3.31967948717949,3.32972222222222,3.41875,3.4375,3.49375,3.61875,3.5,3.44166666666667,3.33638888888889,3.45145502645503,3.5,3.53798126951093,3.41416666666667
"10035","New York","NY","New York","New York",181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99583333333333,2.8989898989899,3,3,3,3.11805555555556,2.959375,2.92139929050059,2.91906976744186,2.8739406779661,2.83125,3,2.95703488372093,2.82352941176471,3.08333333333333,3.08333333333333,3.16055625790139,3.11111111111111,3.0407006817838,3.11541471048513,3.18666666666667,3.18666666666667,3.18666666666667,3.18666666666667,3.19333333333333,3.18666666666667,3.22435897435897,3.28673957621326,3.10363636363636,3.46060606060606,3.07142857142857,3.06904761904762,3.06666666666667,3.11825100356824,3.16866666666667,3.15271403353928,3.26352288488211,3.28571428571429,3.28897338403042,3.30269382064433,3.4,3.39285714285714,3.36631578947368,3.34809523809524,3.26707292667307,3.22029532967033,3.17694063926941,3.2,3.26609029779059
"58102","Fargo","ND","Fargo","Cass",182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.894886363636364,0.94949494949495,0.978260869565217,0.933035714285714,0.902488687782805,0.964285714285714,0.995,1,1.03323699421965,1.00671140939597,0.995,0.973611111111111,1,0.989208633093525,0.962912087912088
"60202","Evanston","IL","Chicago","Cook",183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66231617647059,1.5625,1.51208443271768,1.63483146067416,1.63483146067416,1.58333333333333,1.609375,1.5625,1.5625,1.58953354934521,1.66333333333333,1.59333333333333,1.61875,1.61875,1.63611111111111,1.59090909090909,1.66666666666667,1.66666666666667
"11249","New York","NY","New York","Kings",184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.17730429652837,4.24518594348448,4.36886395511921,4.54254104508709,4.56460674157303,4.59052518126592,4.57676130389064,4.34324637681159,4.24540883190061,4.25831202046036,4.39953001622911,4.32142857142857,4.57401433691756,4.41935483870968,4.366427680798,4.16666666666667,4,4.10198297583466
"23503","Norfolk","VA","Virginia Beach","Norfolk City",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.981138392857143,0.903225806451613,0.876717801214445,0.870616610738255,0.934786234081261,0.994444444444444,0.956617647058823,0.888888888888889,0.95,0.925,0.966666666666667,0.987169312169312,0.987169312169312,0.99375,1,1.02952069716776,1.03869047619048,0.994097222222222,0.995357604480827,0.986378205128205
"77006","Houston","TX","Houston","Harris",186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38981617647059,1.52352941176471,1.48977618621307,1.49769285287974,1.32777777777778,1.37692307692308,1.27857142857143,1.37692307692308,1.35125954198473,1.52083333333333,1.39140271493213,1.26960728690133,1.29734784087045,1.32460317460317,1.30724924461377,1.30724924461377,1.32039473684211,1.4,1.33840644583706,1.325,1.36363636363636,1.40988314517726,1.40909090909091,1.33266666666667,1.42792207792208,1.42714285714286,1.39814814814815,1.35714285714286,1.32857142857143
