RegionName,City,State,Metro,CountyName,SizeRank,MedianPrice
60613,Chicago,IL,Chicago,Cook,43,315000
77479,Sugar Land,TX,Houston,Fort Bend,44,439900
30044,Lawrenceville,GA,Atlanta,Gwinnett,45,224935
73099,Yukon,OK,Oklahoma City,Canadian,46,213000
77433,Cypress,TX,Houston,Harris,47,320000
10463,New York,NY,New York,Bronx,48,339000
11230,New York,NY,New York,Kings,49,652772.5
60629,Chicago,IL,Chicago,Cook,50,184900
60625,Chicago,IL,Chicago,Cook,51,314900
30043,Lawrenceville,GA,Atlanta,Gwinnett,52,269000
75034,Frisco,TX,Dallas-Fort Worth,Collin,53,518900
75287,Dallas,TX,Dallas-Fort Worth,Dallas,54,387400
28277,Charlotte,NC,Charlotte,Mecklenburg,55,394900
85032,Phoenix,AZ,Phoenix,Maricopa,56,270000
7030,Hoboken,NJ,New York,Hudson,57,749499.5
11214,New York,NY,New York,Kings,58,699000
21234,Parkville,MD,Baltimore,Baltimore,59,219900
33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,60,733500
78521,Brownsville,TX,Brownsville,Cameron,61,129000
23464,Virginia Beach,VA,Virginia Beach,Virginia Beach City,62,260000
77077,Houston,TX,Houston,Harris,63,355000
94501,Alameda,CA,San Francisco,Alameda,64,895000
30096,Duluth,GA,Atlanta,Gwinnett,65,260000
78704,Austin,TX,Austin,Travis,66,599950
98052,Redmond,WA,Seattle,King,67,807450
77379,Tomball,TX,Houston,Harris,68,309970
75243,Dallas,TX,Dallas-Fort Worth,Dallas,69,240000
11221,New York,NY,New York,Kings,70,779000
78245,San Antonio,TX,San Antonio,Bexar,71,226734
11229,New York,NY,New York,Kings,72,625000
8701,Lakewood,NJ,New York,Ocean,73,284500
11207,New York,NY,New York,Kings,74,492500
60619,Chicago,IL,Chicago,Cook,75,119000
94110,San Francisco,CA,San Francisco,San Francisco,76,1295000
78666,San Marcos,TX,Austin,Hays,77,269990
30024,Suwanee,GA,Atlanta,Gwinnett,78,405000
60610,Chicago,IL,Chicago,Cook,79,510000
10019,New York,NY,New York,New York,80,1695000
44107,Lakewood,OH,Cleveland,Cuyahoga,81,179900
75067,Lewisville,TX,Dallas-Fort Worth,Denton,82,289950
33025,Miramar,FL,Miami-Fort Lauderdale,Broward,83,229000
33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,84,318250
33139,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,85,429000
90044,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,86,429850
48197,Ypsilanti,MI,Ann Arbor,Washtenaw,87,230000
2169,Quincy,MA,Boston,Norfolk,88,439450
23462,Virginia Beach,VA,Virginia Beach,Virginia Beach City,89,220000
90805,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,90,475000
66062,Olathe,KS,Kansas City,Johnson,91,299950
44035,Elyria,OH,Cleveland,Lorain,92,107968
95630,Folsom,CA,Sacramento,Sacramento,93,569900
90650,Norwalk,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,94,475000
11234,New York,NY,New York,Kings,95,657000
92683,Westminster,CA,Los Angeles-Long Beach-Anaheim,Orange,96,699800
85710,Tucson,AZ,Tucson,Pima,97,179900
19143,Philadelphia,PA,Philadelphia,Philadelphia,98,99400
78745,Austin,TX,Austin,Travis,99,330000
11355,New York,NY,New York,Queens,100,692000
10314,New York,NY,New York,Richmond,101,550000
60617,Chicago,IL,Chicago,Cook,102,110000
30281,Stockbridge,GA,Atlanta,Henry,103,196500
32210,Jacksonville,FL,Jacksonville,Duval,104,147900
37075,Hendersonville,TN,Nashville,Sumner,105,349900
94558,Napa,CA,Napa,Napa,106,749000
60611,Chicago,IL,Chicago,Cook,107,559900
11215,New York,NY,New York,Kings,108,1250000
90026,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,109,1049974.5
85225,Chandler,AZ,Phoenix,Maricopa,110,268925
91910,Chula Vista,CA,San Diego,San Diego,111,532500
87111,Albuquerque,NM,Albuquerque,Bernalillo,112,284900
28027,Concord,NC,Charlotte,Cabarrus,113,289000
6010,Bristol,CT,Hartford,Hartford,114,185200
78240,San Antonio,TX,San Antonio,Bexar,115,210000
87114,Albuquerque,NM,Albuquerque,Bernalillo,116,233500
89108,Las Vegas,NV,Las Vegas,Clark,117,229900
85308,Glendale,AZ,Phoenix,Maricopa,118,299900
11211,New York,NY,New York,Kings,119,1100400
17603,Lancaster,PA,Lancaster,Lancaster,120,204900
93722,Fresno,CA,Fresno,Fresno,121,269000
80134,Parker,CO,Denver,Douglas,122,484700
48180,Taylor,MI,Detroit,Wayne,123,104995
725,Caguas,TX,Brownsville,Cameron,124,117600
85281,Tempe,AZ,Phoenix,Maricopa,125,282125
78577,Pharr,TX,McAllen,Hidalgo,126,139998.5
94533,Fairfield,CA,Vallejo,Solano,127,399999
15601,Greensburg,PA,Pittsburgh,Westmoreland,128,170000
95608,Carmichael,CA,Sacramento,Sacramento,129,444950
43055,Newark,OH,Columbus,Licking,130,149900
43081,Westerville,OH,Columbus,Franklin,131,254950
44060,Mentor,OH,Cleveland,Lake,132,186500
80013,Aurora,CO,Denver,Arapahoe,133,347200
33024,Pembroke Pines,FL,Miami-Fort Lauderdale,Broward,134,295000
20906,Silver Spring,MD,Washington,Montgomery,135,319900
33009,Hallandale,FL,Miami-Fort Lauderdale,Broward,136,265000
90066,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,137,1388000
43123,Grove City,OH,Columbus,Franklin,138,228987
97229,Portland,OR,Portland,Multnomah,139,549945
76028,Burleson,TX,Dallas-Fort Worth,Johnson,140,255000
91709,Chino Hills,CA,Riverside,San Bernardino,141,739990
11385,New York,NY,New York,Queens,142,729999
85364,Yuma,AZ,Yuma,Yuma,143,179900
14850,Ithaca,NY,Ithaca,Tompkins,144,319000
65807,Springfield,MO,Springfield,Greene,145,138200
98012,Bothell,WA,Seattle,Snohomish,146,594500
77459,Missouri City,TX,Houston,Fort Bend,147,341990
92677,Laguna Niguel,CA,Los Angeles-Long Beach-Anaheim,Orange,148,899000
95823,Sacramento,CA,Sacramento,Sacramento,149,289000
33908,Fort Myers,FL,Fort Myers,Lee,150,279000
44256,Medina,OH,Cleveland,Medina,151,259900
2148,Malden,MA,Boston,Middlesex,152,429974
60620,Chicago,IL,Chicago,Cook,153,126900
10028,New York,NY,New York,New York,154,1975000
27410,Greensboro,NC,,Guilford,155,240950
45011,Hamilton,OH,Cincinnati,Butler,156,269900
76063,Mansfield,TX,Dallas-Fort Worth,Tarrant,157,334285
33647,Tampa,FL,Tampa,Hillsborough,158,325900
92804,Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange,159,585000
11238,New York,NY,New York,Kings,160,1200000
60634,Chicago,IL,Chicago,Cook,161,299900
8753,Toms River,NJ,New York,Ocean,162,299000
6902,Stamford,CT,Stamford,Fairfield,163,499000
65203,Columbia,MO,Columbia,Boone,164,279900
47906,West Lafayette,IN,Lafayette-West Lafayette,Tippecanoe,165,228000
98103,Seattle,WA,Seattle,King,166,749950
92345,Hesperia,CA,Riverside,San Bernardino,167,279000
75228,Dallas,TX,Dallas-Fort Worth,Dallas,168,275000
92126,San Diego,CA,San Diego,San Diego,169,599000
90019,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,170,1197500
27406,Greensboro,NC,,Guilford,171,149900
60016,Des Plaines,IL,Chicago,Cook,172,249500
46307,Crown Point,IN,Chicago,Lake,173,259000
76244,Fort Worth,TX,Dallas-Fort Worth,Tarrant,174,281000
28314,Fayetteville,NC,Fayetteville,Cumberland,175,120000
27610,Raleigh,NC,Raleigh,Wake,176,195000
89121,Las Vegas,NV,Las Vegas,Clark,177,239699
29732,Rock Hill,SC,Charlotte,York,178,228450
75056,The Colony,TX,Dallas-Fort Worth,Denton,179,410750
30040,Cumming,GA,Atlanta,Forsyth,180,392900
30188,Woodstock,GA,Atlanta,Cherokee,181,347700
79938,El Paso,TX,El Paso,El Paso,182,169250
92336,Fontana,CA,Riverside,San Bernardino,183,464888
99301,Pasco,WA,Kennewick,Franklin,184,299900
20011,Washington,DC,Washington,District of Columbia,185,649900
77095,Houston,TX,Houston,Harris,186,235000
91911,Chula Vista,CA,San Diego,San Diego,187,498000
77845,College Station,TX,College Station,Brazos,188,279900
92503,Riverside,CA,Riverside,Riverside,189,449950
94536,Fremont,CA,San Francisco,Alameda,190,989388
7002,Bayonne,NJ,New York,Hudson,191,399000
27587,Wake Forest,NC,Raleigh,Wake,192,369200
21740,Hagerstown,MD,Hagerstown,Washington,193,175000
11233,New York,NY,New York,Kings,194,527000
7302,Jersey City,NJ,New York,Hudson,195,824450
90280,South Gate,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,196,439450
22191,Woodbridge,VA,Washington,Prince William,197,335000
19111,Philadelphia,PA,Philadelphia,Philadelphia,198,189900
89117,Las Vegas,NV,Las Vegas,Clark,198,377500
87120,Albuquerque,NM,Albuquerque,Bernalillo,200,229900
43230,Gahanna,OH,Columbus,Franklin,201,225000
40475,Richmond,KY,Richmond,Madison,202,184900
46227,Indianapolis,IN,Indianapolis,Marion,203,149900
11236,New York,NY,New York,Kings,204,475000
91730,Rancho Cucamonga,CA,Riverside,San Bernardino,205,442500
23320,Chesapeake,VA,Virginia Beach,Chesapeake City,206,304900
74012,Broken Arrow,OK,Tulsa,Tulsa,207,195000
90201,Bell,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,208,425000
92592,Temecula,CA,Riverside,Riverside,208,503000
32244,Jacksonville,FL,Jacksonville,Duval,210,164900
21117,Owings Mills,MD,Baltimore,Baltimore,211,274999
92109,San Diego,CA,San Diego,San Diego,212,1050000
60628,Chicago,IL,Chicago,Cook,213,84450
34787,Winter Garden,FL,Orlando,Orange,214,383990
77450,Cinco Ranch,TX,Houston,Fort Bend,215,285000
92101,San Diego,CA,San Diego,San Diego,216,675000
32822,Orlando,FL,Orlando,Orange,217,130747.5
30318,Atlanta,GA,Atlanta,Fulton,218,342425
30080,Smyrna,GA,Atlanta,Cobb,219,389949.5
7093,West New York,NJ,New York,Hudson,220,457999.5
60626,Chicago,IL,Chicago,Cook,221,194900
90004,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,222,1299000
28078,Huntersville,NC,Charlotte,Mecklenburg,223,339900
10027,New York,NY,New York,New York,224,995000
34135,Bonita Springs,FL,Fort Myers,Lee,225,309900
90706,Bellflower,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,226,499999
48103,Ann Arbor,MI,Ann Arbor,Washtenaw,227,410000
30062,Marietta,GA,Atlanta,Cobb,228,389900
33186,The Crossings,FL,Miami-Fort Lauderdale,Miami-Dade,228,316500
30052,Loganville,GA,Atlanta,Gwinnett,230,260570
30041,Cumming,GA,Atlanta,Forsyth,231,417381
30331,Atlanta,GA,Atlanta,Fulton,232,178000
11372,New York,NY,New York,Queens,233,399000
32256,Jacksonville,FL,Jacksonville,Duval,234,219000
34711,Clermont,FL,Orlando,Lake,235,284900
27834,Greenville,NC,Greenville,Pitt,236,149900
92335,Fontana,CA,Riverside,San Bernardino,237,347200
37130,Murfreesboro,TN,Nashville,Rutherford,238,290779
23454,Virginia Beach,VA,Virginia Beach,Virginia Beach City,239,319900
38401,Columbia,TN,Nashville,Maury,240,249990
92021,El Cajon,CA,San Diego,San Diego,241,499000
48185,Westland,MI,Detroit,Wayne,242,149900
93065,Simi Valley,CA,Ventura,Ventura,243,624900
91342,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,244,520000
44130,Parma Heights,OH,Cleveland,Cuyahoga,245,139900
95747,Roseville,CA,Sacramento,Placer,246,499000
32218,Jacksonville,FL,Jacksonville,Duval,247,208379
95123,San Jose,CA,San Jose,Santa Clara,248,899888
43026,Hilliard,OH,Columbus,Franklin,249,265900
20019,Washington,DC,Washington,District of Columbia,250,329900
22193,Woodbridge,VA,Washington,Prince William,251,335000
45840,Findlay,OH,Findlay,Hancock,252,184900
80634,Greeley,CO,Greeley,Weld,253,322375
2155,Medford,MA,Boston,Middlesex,254,589000
92627,Costa Mesa,CA,Los Angeles-Long Beach-Anaheim,Orange,255,874650
33311,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,256,199999
85705,Tucson,AZ,Tucson,Pima,257,155000
20878,Gaithersburg,MD,Washington,Montgomery,258,579500
30022,Johns Creek,GA,Atlanta,Fulton,259,498500
27858,Greenville,NC,Greenville,Pitt,260,199500
23666,Hampton,VA,Virginia Beach,Hampton City,261,197900
2360,Plymouth,MA,Boston,Plymouth,262,435000
33064,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,262,248900
20001,Washington,DC,Washington,District of Columbia,264,699500
29072,Lexington,SC,Columbia,Lexington,265,246990
33027,Miramar,FL,Miami-Fort Lauderdale,Broward,266,306000
89052,Henderson,NV,Las Vegas,Clark,266,469990
90011,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,268,390000
75206,Dallas,TX,Dallas-Fort Worth,Dallas,269,482425
11223,New York,NY,New York,Kings,270,775000
32174,Ormond Beach,FL,Daytona Beach,Volusia,271,284950
33063,Margate,FL,Miami-Fort Lauderdale,Broward,272,199999
87121,Albuquerque,NM,Albuquerque,Bernalillo,273,163000
43701,Zanesville,OH,Zanesville,Muskingum,274,134700
90025,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,275,946950
72401,Jonesboro,AR,Jonesboro,Craighead,276,159900
10021,New York,NY,New York,New York,277,1899999.5
10701,Yonkers,NY,New York,Westchester,278,249000
58103,Fargo,ND,Fargo,Cass,279,198400
44077,Painesville,OH,Cleveland,Lake,280,197450
75035,Frisco,TX,Dallas-Fort Worth,Collin,280,468245
8831,Monroe,NJ,New York,Middlesex,282,425000
34953,Port Saint Lucie,FL,Port St. Lucie,Saint Lucie,283,241250
94544,Hayward,CA,San Francisco,Alameda,283,649950
19124,Philadelphia,PA,Philadelphia,Philadelphia,285,99900
78641,Leander,TX,Austin,Williamson,286,325990
60616,Chicago,IL,Chicago,Cook,287,350000
97402,Eugene,OR,Eugene,Lane,288,259950
43228,Columbus,OH,Columbus,Franklin,289,149950
33313,Lauderhill,FL,Miami-Fort Lauderdale,Broward,290,84925
75150,Mesquite,TX,Dallas-Fort Worth,Dallas,291,179900
95051,Santa Clara,CA,San Jose,Santa Clara,292,1388444
20147,Ashburn,VA,Washington,Loudoun,293,522990
55901,Rochester,MN,Rochester,Olmsted,294,239900
23452,Virginia Beach,VA,Virginia Beach,Virginia Beach City,295,279900
91710,Chino,CA,Riverside,San Bernardino,296,518694
91335,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,297,575000
35242,Hoover,AL,Birmingham,Jefferson,298,449000
30127,Powder Springs,GA,Atlanta,Cobb,299,255000
71913,Hot Springs,AR,Hot Springs,Garland,299,227500
90731,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,301,569000
29730,Rock Hill,SC,Charlotte,York,302,179950
80015,Aurora,CO,Denver,Arapahoe,303,410000
32225,Jacksonville,FL,Jacksonville,Duval,304,259900
95687,Vacaville,CA,Vallejo,Solano,305,429949.5
27713,Durham,NC,Durham,Durham,306,270000
77840,College Station,TX,College Station,Brazos,307,199900
30004,Milton,GA,Atlanta,Fulton,308,550000
43068,Reynoldsburg,OH,Columbus,Franklin,309,187000
93550,Palmdale,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,309,270000
11208,New York,NY,New York,Kings,311,586500
89123,Las Vegas,NV,Las Vegas,Clark,312,3.00E+05
94509,Antioch,CA,San Francisco,Contra Costa,313,399000
80525,Fort Collins,CO,Fort Collins,Larimer,314,410000
78501,McAllen,TX,McAllen,Hidalgo,315,172450
48823,East Lansing,MI,Lansing,Ingham,316,224900
63123,Affton,MO,St. Louis,Saint Louis,317,157900
40601,Frankfort,KY,Frankfort,Franklin,318,169900
21215,Baltimore,MD,Baltimore,Baltimore City,319,99971.5
29464,Mount Pleasant,SC,Charleston,Charleston,320,575000
60622,Chicago,IL,Chicago,Cook,321,535000
7087,Union City,NJ,New York,Hudson,322,399000
32828,Orlando,FL,Orlando,Orange,323,310000
77057,Houston,TX,Houston,Harris,324,286000
23451,Virginia Beach,VA,Virginia Beach,Virginia Beach City,325,432287.5
23223,Richmond,VA,Richmond,Richmond City,326,198000
60615,Chicago,IL,Chicago,Cook,327,225000
42101,Bowling Green,KY,Bowling Green,Warren,328,184900
45601,Chillicothe,OH,Chillicothe,Ross,329,144900
30135,Douglasville,GA,Atlanta,Douglas,330,220000
27284,Kernersville,NC,Winston-Salem,Forsyth,331,228745
19446,Lansdale,PA,Philadelphia,Montgomery,332,329900
14221,Amherst,NY,Buffalo,Erie,333,249900
98115,Seattle,WA,Seattle,King,334,815000
60641,Chicago,IL,Chicago,Cook,335,337500
93727,Fresno,CA,Fresno,Fresno,336,310000
76116,Fort Worth,TX,Dallas-Fort Worth,Tarrant,337,274000
21122,Pasadena,MD,Baltimore,Anne Arundel,338,328950
93536,Lancaster,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,339,365000
85251,Scottsdale,AZ,Phoenix,Maricopa,340,398000
60453,Oak Lawn,IL,Chicago,Cook,341,199000
33319,Lauderhill,FL,Miami-Fort Lauderdale,Broward,342,110000
78249,San Antonio,TX,San Antonio,Bexar,343,255000
19020,Bensalem,PA,Philadelphia,Bucks,344,284900
33321,Tamarac,FL,Miami-Fort Lauderdale,Broward,345,199997
2301,Brockton,MA,Boston,Plymouth,346,289900
95758,Elk Grove,CA,Sacramento,Sacramento,347,404450
60660,Chicago,IL,Chicago,Cook,348,239900
93306,Bakersfield,CA,Bakersfield,Kern,349,229900
11225,New York,NY,New York,Kings,350,740000
73160,Moore,OK,Oklahoma City,Cleveland,351,175250
14580,Webster,NY,Rochester,Monroe,352,250000
19720,New Castle,DE,Philadelphia,New Castle,353,191000
89031,North Las Vegas,NV,Las Vegas,Clark,354,269900
93257,Porterville,CA,Visalia,Tulare,355,229000
19120,Philadelphia,PA,Philadelphia,Philadelphia,356,1.00E+05
27707,Durham,NC,Durham,Durham,357,305000
93307,Bakersfield,CA,Bakersfield,Kern,358,202000
33467,Greenacres,FL,Miami-Fort Lauderdale,Palm Beach,359,328900
22204,Arlington,VA,Washington,Arlington,360,424900
20874,Germantown,MD,Washington,Montgomery,361,310000
37128,Murfreesboro,TN,Nashville,Rutherford,361,280900
93309,Bakersfield,CA,Bakersfield,Kern,363,227450
95035,Milpitas,CA,San Jose,Santa Clara,364,998888
31419,Savannah,GA,Savannah,Chatham,365,188182
66061,Olathe,KS,Kansas City,Johnson,366,370500
21222,Dundalk,MD,Baltimore,Baltimore,367,153900
60056,Mount Prospect,IL,Chicago,Cook,368,325000
27703,Durham,NC,Durham,Durham,369,275000
85282,Tempe,AZ,Phoenix,Maricopa,370,279500
29223,Columbia,SC,Columbia,Richland,371,175000
93230,Hanford,CA,Hanford,Kings,372,267700
72712,Bentonville,AR,Fayetteville,Benton,373,303449.5
29445,Goose Creek,SC,Charleston,Berkeley,374,2.00E+05
75043,Garland,TX,Dallas-Fort Worth,Dallas,375,219999.5
33157,Village of Palmetto Bay,FL,Miami-Fort Lauderdale,Miami-Dade,376,414500
90802,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,377,439500
94538,Fremont,CA,San Francisco,Alameda,378,998000
37064,Franklin,TN,Nashville,Williamson,379,575000
98682,Vancouver,WA,Portland,Clark,380,373900
94541,Hayward,CA,San Francisco,Alameda,381,639000
95076,Watsonville,CA,Santa Cruz,Santa Cruz,382,679000
60085,Waukegan,IL,Chicago,Lake,383,129900
98133,Shoreline,WA,Seattle,King,384,572472.5
28601,Hickory,NC,Hickory,Catawba,385,231900
70726,Denham Springs,LA,Baton Rouge,Livingston,386,198900
77007,Houston,TX,Houston,Harris,387,449949.5
75002,Allen,TX,Dallas-Fort Worth,Collin,388,349999
92630,Lake Forest,CA,Los Angeles-Long Beach-Anaheim,Orange,389,718000
93274,Tulare,CA,Visalia,Tulare,390,244900
31907,Columbus,GA,Columbus,Muscogee,391,102250
28216,Charlotte,NC,Charlotte,Mecklenburg,392,197000
38655,Oxford,MS,Oxford,Lafayette,393,275000
46143,Greenwood,IN,Indianapolis,Johnson,394,242990
11213,New York,NY,New York,Kings,395,650000
37167,Smyrna,TN,Nashville,Rutherford,396,280995
32792,Goldenrod,FL,Orlando,Seminole,397,280000
92647,Huntington Beach,CA,Los Angeles-Long Beach-Anaheim,Orange,398,749950
31088,Warner Robins,GA,Warner Robins,Houston,399,164900
36117,Montgomery,AL,Montgomery,Montgomery,400,2.00E+05
37122,Mount Juliet,TN,Nashville,Wilson,401,385000
32246,Jacksonville,FL,Jacksonville,Duval,402,237250
20020,Washington,DC,Washington,District of Columbia,403,290171.5
77521,Baytown,TX,Houston,Harris,404,212990
99208,Spokane,WA,Spokane,Spokane,405,289450
77083,Mission Bend,TX,Houston,Fort Bend,406,195000
63021,Ballwin,MO,St. Louis,Saint Louis,407,309700
30909,Augusta,GA,Augusta,Richmond,408,213900
29681,Simpsonville,SC,Greenville,Greenville,409,280552
28205,Charlotte,NC,Charlotte,Mecklenburg,410,317900
30253,McDonough,GA,Atlanta,Henry,411,216035
29485,Summerville,SC,Charleston,Dorchester,412,239850
92104,San Diego,CA,San Diego,San Diego,413,619000
92115,San Diego,CA,San Diego,San Diego,413,549000
90631,La Habra,CA,Los Angeles-Long Beach-Anaheim,Orange,415,625000
15301,Washington,PA,Pittsburgh,Washington,416,165000
6516,West Haven,CT,New Haven,New Haven,417,189900
27705,Durham,NC,Durham,Durham,418,324900
97045,Oregon City,OR,Portland,Clackamas,419,447413.5
1960,Peabody,MA,Boston,Essex,420,429900
17331,Penn,PA,York,York,421,217000
32608,Gainesville,FL,Gainesville,Alachua,421,255000
78758,Austin,TX,Austin,Travis,423,294375
11203,New York,NY,New York,Kings,424,574950
33511,Brandon,FL,Tampa,Hillsborough,425,259900
63129,Oakville,MO,St. Louis,Saint Louis,426,239900
85022,Phoenix,AZ,Phoenix,Maricopa,427,280000
92154,San Diego,CA,San Diego,San Diego,428,486500
85204,Mesa,AZ,Phoenix,Maricopa,429,233950
94513,Brentwood,CA,San Francisco,Contra Costa,430,619900
87124,Rio Rancho,NM,Albuquerque,Sandoval,431,221250
78251,San Antonio,TX,San Antonio,Bexar,432,199900
89110,Las Vegas,NV,Las Vegas,Clark,433,216624
92646,Huntington Beach,CA,Los Angeles-Long Beach-Anaheim,Orange,433,774950
10031,New York,NY,New York,New York,435,601000
94587,Union City,CA,San Francisco,Alameda,436,888888
37040,Clarksville,TN,Clarksville,Montgomery,437,195000
74133,Tulsa,OK,Tulsa,Tulsa,438,225000
98122,Seattle,WA,Seattle,King,439,8.00E+05
85301,Glendale,AZ,Phoenix,Maricopa,440,165450
30066,Marietta,GA,Atlanta,Cobb,441,299900
21224,Baltimore,MD,Baltimore,Baltimore City,442,259000
28215,Charlotte,NC,Charlotte,Mecklenburg,443,217900
20852,North Bethesda,MD,Washington,Montgomery,444,424950
85142,Queen Creek,AZ,Phoenix,Pinal,445,329500
33458,Jupiter,FL,Miami-Fort Lauderdale,Palm Beach,446,413750
98632,Longview,WA,Longview,Cowlitz,447,249900
95355,Modesto,CA,Modesto,Stanislaus,448,349000
83301,Twin Falls,ID,Twin Falls,Twin Falls,449,221888.5
59901,Kalispell,MT,Kalispell,Flathead,450,369000
95670,Rancho Cordova,CA,Sacramento,Sacramento,451,355000
85345,Peoria,AZ,Phoenix,Maricopa,452,210000
21061,Glen Burnie,MD,Baltimore,Anne Arundel,453,269000
32765,Oviedo,FL,Orlando,Seminole,454,349900
92376,Rialto,CA,Riverside,San Bernardino,455,345000
43229,Columbus,OH,Columbus,Franklin,456,149900
60148,Lombard,IL,Chicago,Du Page,457,264900
97401,Eugene,OR,Eugene,Lane,458,343000
37421,Chattanooga,TN,Chattanooga,Hamilton,459,235000
37066,Gallatin,TN,Nashville,Sumner,460,337000
95014,Cupertino,CA,San Jose,Santa Clara,461,1969000
94568,Dublin,CA,San Francisco,Alameda,462,912800
37027,Brentwood,TN,Nashville,Williamson,463,707500
45044,Middletown,OH,Cincinnati,Butler,464,170000
19067,Lower Makefield,PA,Philadelphia,Bucks,465,418450
28210,Charlotte,NC,Charlotte,Mecklenburg,466,349000
33414,Wellington,FL,Miami-Fort Lauderdale,Palm Beach,466,449900
67401,Salina,KS,Salina,Saline,468,146000
30263,Newnan,GA,Atlanta,Coweta,469,234000
92105,San Diego,CA,San Diego,San Diego,470,424999
28655,Morganton,NC,Hickory,Burke,471,199500
28227,Mint Hill,NC,Charlotte,Mecklenburg,472,279500
45013,Hamilton,OH,Cincinnati,Butler,473,159900
34293,Venice,FL,North Port-Sarasota-Bradenton,Sarasota,474,289000
85008,Phoenix,AZ,Phoenix,Maricopa,475,249900
11216,New York,NY,New York,Kings,476,850000
70072,Marrero,LA,New Orleans,Jefferson,477,155000
27519,Cary,NC,Raleigh,Wake,478,466490
23322,Chesapeake,VA,Virginia Beach,Chesapeake City,479,389000
94080,South San Francisco,CA,San Francisco,San Mateo,480,950000
38305,Jackson,TN,Jackson,Madison,481,195000
33433,Boca Raton,FL,Miami-Fort Lauderdale,Palm Beach,482,330000
42701,Elizabethtown,KY,Elizabethtown,Hardin,483,199900
89074,Henderson,NV,Las Vegas,Clark,483,325000
89103,Las Vegas,NV,Las Vegas,Clark,485,215000
