RegionName,City,State,Metro,CountyName,SizeRank,MedianPricePerSqft
2919,Johnston,RI,Providence,Providence,3042,184.6347607
90504,Torrance,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,3042,490.3407979
79106,Amarillo,TX,Amarillo,Potter,3044,87.92846498
45662,Portsmouth,OH,Portsmouth,Scioto,3045,62.7090301
8043,Voorhees,NJ,Philadelphia,Camden,3046,136.761488
23513,Norfolk,VA,Virginia Beach,Norfolk City,3046,123.9849624
23227,Richmond,VA,Richmond,Richmond City,3048,157.6830399
76053,Hurst,TX,Dallas-Fort Worth,Tarrant,3048,132.6714801
66213,Overland Park,KS,Kansas City,Johnson,3050,139.0706806
6512,East Haven,CT,New Haven,New Haven,3051,159.0277778
53223,Milwaukee,WI,Milwaukee,Milwaukee,3052,85.82007397
49507,Grand Rapids,MI,Grand Rapids,Kent,3053,97.21257842
55372,Prior Lake,MN,Minneapolis-St Paul,Scott,3054,220.2744149
80218,Denver,CO,Denver,Denver,3055,442.0113478
43612,Toledo,OH,Toledo,Lucas,3056,53.00353357
77075,Houston,TX,Houston,Harris,3057,104.3440111
80910,Colorado Springs,CO,Colorado Springs,El Paso,3058,163.0434783
30741,Fairview,GA,Chattanooga,Walker,3059,86.18622599
44052,Lorain,OH,Cleveland,Lorain,3059,52.09588306
78582,Rio Grande City,TX,Rio Grande City,Starr,3061,66.22418879
98027,Issaquah,WA,Seattle,King,3062,352.9234314
85395,Goodyear,AZ,Phoenix,Maricopa,3062,139.0322561
99207,Spokane,WA,Spokane,Spokane,3064,172.5849129
27332,Sanford,NC,Sanford,Lee,3065,100.562049
77598,Houston,TX,Houston,Harris,3065,114.370895
92637,Laguna Woods,CA,Los Angeles-Long Beach-Anaheim,Orange,3067,293.6201482
92131,San Diego,CA,San Diego,San Diego,3068,389.5640074
33156,Pinecrest,FL,Miami-Fort Lauderdale,Miami-Dade,3069,359.7264711
96814,Honolulu,HI,Urban Honolulu,Honolulu,3070,851.4335361
20745,Forest Heights,MD,Washington,Prince Georges,3071,239.2727273
33907,Fort Myers,FL,Fort Myers,Lee,3072,126.0785561
33542,Zephyrhills,FL,Tampa,Pasco,3073,106.5340909
2453,Waltham,MA,Boston,Middlesex,3074,362.7308707
56301,Saint Cloud,MN,St. Cloud,Stearns,3074,140.2884615
83605,Caldwell,ID,Boise City,Canyon,3076,113.9269895
98038,Maple Valley,WA,Seattle,King,3076,239.0126777
68164,Omaha,NE,Omaha,Douglas,3078,138.758181
78573,Alton,TX,McAllen,Hidalgo,3079,102.8120713
46268,Indianapolis,IN,Indianapolis,Marion,3080,85.54211525
8865,Phillipsburg,NJ,Allentown,Warren,3081,105.165481
14616,Greece,NY,Rochester,Monroe,3081,82.38636364
97266,Portland,OR,Portland,Multnomah,3083,251.6778523
48091,Warren,MI,Detroit,Macomb,3084,118.9689359
80122,Centennial,CO,Denver,Arapahoe,3084,255.4424024
50501,Fort Dodge,IA,Fort Dodge,Webster,3086,95.94907407
55016,Cottage Grove,MN,Minneapolis-St Paul,Washington,3086,192.1970227
34743,Kissimmee,FL,Orlando,Osceola,3088,134.624018
50014,Ames,IA,Ames,Story,3089,172.3331974
76401,Stephenville,TX,Stephenville,Erath,3089,77.44070867
13090,Liverpool,NY,Syracuse,Onondaga,3091,108.0023364
93422,Atascadero,CA,San Luis Obispo,San Luis Obispo,3092,311.875
23233,Henrico,VA,Richmond,Henrico,3093,163.8215712
7107,Newark,NJ,New York,Essex,3094,89.15289256
22042,Falls Church,VA,Washington,Fairfax,3095,346.0598724
19050,Lansdowne,PA,Philadelphia,Delaware,3096,90.15151515
93702,Fresno,CA,Fresno,Fresno,3097,140.4873477
21237,Rosedale,MD,Baltimore,Baltimore,3098,151.4393939
80214,Lakewood,CO,Denver,Jefferson,3099,322.5797913
8648,Lawrence,NJ,Trenton,Mercer,3100,178.5714286
89130,Las Vegas,NV,Las Vegas,Clark,3101,156.8984772
41011,Covington,KY,Cincinnati,Kenton,3102,135.0806452
46804,Fort Wayne,IN,Fort Wayne,Allen,3103,100.8814887
93561,Tehachapi,CA,Bakersfield,Kern,3103,161.9640276
21009,Abingdon,MD,Baltimore,Harford,3105,164.676098
97306,Salem,OR,Salem,Marion,3105,188.3928571
19119,Philadelphia,PA,Philadelphia,Philadelphia,3107,153.5494881
33076,Coral Springs,FL,Miami-Fort Lauderdale,Broward,3107,191.1719323
34223,Englewood,FL,North Port-Sarasota-Bradenton,Sarasota,3109,189.7533014
45230,Cincinnati,OH,Cincinnati,Hamilton,3110,120.0920737
95337,Manteca,CA,Stockton,San Joaquin,3110,207.6884666
49506,Grand Rapids,MI,Grand Rapids,Kent,3112,186.1768369
30214,Fayetteville,GA,Atlanta,Fayette,3113,113.0829283
55116,Saint Paul,MN,Minneapolis-St Paul,Ramsey,3114,233.8206628
29745,York,SC,Charlotte,York,3115,116.3095238
91780,Temple City,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,3115,526.7229255
94602,Oakland,CA,San Francisco,Alameda,3115,543.7099253
27517,Chapel Hill,NC,Durham,Orange,3118,177.4374881
80237,Denver,CO,Denver,Denver,3119,375.8695652
21225,Brooklyn Park,MD,Baltimore,Anne Arundel,3120,116.6655166
32459,Santa Rosa Beach,FL,Crestview-Fort Walton Beach-Destin,Walton,3121,310.2284528
33183,Kendale Lakes,FL,Miami-Fort Lauderdale,Miami-Dade,3122,191.3475177
2368,Randolph,MA,Boston,Norfolk,3123,252.9499532
2474,Arlington,MA,Boston,Middlesex,3124,440.3857333
43050,Mount Vernon,OH,Mount Vernon,Knox,3124,93.07520477
77536,Deer Park,TX,Houston,Harris,3124,111.5723923
16509,Millcreek,PA,Erie,Erie,3127,105.8074781
7011,Clifton,NJ,New York,Passaic,3128,214.3799472
77489,Missouri City,TX,Houston,Fort Bend,3129,86.9061809
97203,Portland,OR,Portland,Multnomah,3130,294.1176471
95682,Shingle Springs,CA,Sacramento,El Dorado,3131,251.5243902
33409,West Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,3132,129.4093851
66801,Emporia,KS,Emporia,Lyon,3133,88.89419611
33434,Boca Raton,FL,Miami-Fort Lauderdale,Palm Beach,3134,126.6932271
45365,Sidney,OH,Sidney,Shelby,3134,81.25612025
93638,Madera,CA,Madera,Madera,3136,158.2915651
89134,Las Vegas,NV,Las Vegas,Clark,3137,207.0695478
54303,Green Bay,WI,Green Bay,Brown,3138,89.14137853
60142,Huntley,IL,Chicago,McHenry,3139,151.4568765
62959,Marion,IL,Carbondale,Williamson,3139,82.4137931
60189,Wheaton,IL,Chicago,Du Page,3141,184.4058912
7747,Matawan,NJ,New York,Monmouth,3142,206.8965517
17046,Lebanon,PA,Lebanon,Lebanon,3142,116.5887211
60050,McHenry,IL,Chicago,McHenry,3142,124.5486917
33407,West Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,3145,167.3935134
43212,Grandview Heights,OH,Columbus,Franklin,3145,254.7169811
43209,Bexley,OH,Columbus,Franklin,3147,183.9990477
60631,Chicago,IL,Chicago,Cook,3148,269.4295747
92110,San Diego,CA,San Diego,San Diego,3148,462.3464083
20164,Sterling,VA,Washington,Loudoun,3150,246.199336
60714,Niles,IL,Chicago,Cook,3150,220.7508459
97321,Albany,OR,Albany,Linn,3152,182.7951614
27889,Washington,NC,Washington,Beaufort,3153,79.84581498
73162,Oklahoma City,OK,Oklahoma City,Oklahoma,3154,91.3465125
37172,Springfield,TN,Nashville,Robertson,3155,138.1764706
60656,Chicago,IL,Chicago,Cook,3155,266.2949195
75234,Farmers Branch,TX,Dallas-Fort Worth,Dallas,3157,166.1392222
63139,Saint Louis,MO,St. Louis,Saint Louis City,3158,145.9147135
55443,Brooklyn Park,MN,Minneapolis-St Paul,Hennepin,3159,175.2469483
38117,Memphis,TN,Memphis,Shelby,3160,128.7004983
92701,Santa Ana,CA,Los Angeles-Long Beach-Anaheim,Orange,3161,357.7235772
60527,Burr Ridge,IL,Chicago,Du Page,3162,216.2506342
22601,Winchester,VA,Winchester,Frederick,3163,155.6419834
10704,Yonkers,NY,New York,Westchester,3164,212.25
84095,South Jordan,UT,Salt Lake City,Salt Lake,3165,174.1749153
3079,Salem,NH,Boston,Rockingham,3166,211.8379237
29707,Fort Mill,SC,Charlotte,York,3166,128.9434524
21811,Berlin,MD,Salisbury,Worcester,3168,168.9239706
90039,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,3168,751.6206221
37659,Jonesborough,TN,Johnson City,Washington,3170,133.3444481
48162,Frenchtown,MI,Monroe,Monroe,3170,125.7155247
90604,South Whittier,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,3170,380.5693069
55421,Columbia Heights,MN,Minneapolis-St Paul,Anoka,3173,194.7008461
85212,Mesa,AZ,Phoenix,Maricopa,3174,145.3653217
1089,West Springfield,MA,Springfield,Hampden,3175,155.7422032
33173,Kendall,FL,Miami-Fort Lauderdale,Miami-Dade,3176,202.3809524
79904,El Paso,TX,El Paso,El Paso,3176,81.40385065
97471,Roseburg,OR,Roseburg,Douglas,3178,158.7795766
53140,Kenosha,WI,Chicago,Kenosha,3179,123.7268519
60515,Downers Grove,IL,Chicago,Du Page,3180,244.1565911
81504,Grand Junction,CO,Grand Junction,Mesa,3181,150.9661836
11358,New York,NY,New York,Queens,3182,655.7527988
95340,Merced,CA,Merced,Merced,3183,164.8351648
78633,Georgetown,TX,Austin,Williamson,3184,169.0645733
80033,Wheat Ridge,CO,Denver,Jefferson,3185,313.9641489
29486,Summerville,SC,Charleston,Dorchester,3186,127.4364789
32905,Palm Bay,FL,Melbourne,Brevard,3187,118.6133666
90002,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,3188,338.9830508
84129,Taylorsville,UT,Salt Lake City,Salt Lake,3189,219.6555819
45239,White Oak,OH,Cincinnati,Hamilton,3190,87.4668435
11801,Hicksville,NY,New York,Nassau,3191,373.5952351
55426,Saint Louis Park,MN,Minneapolis-St Paul,Hennepin,3192,256.5536205
74464,Tahlequah,OK,Tahlequah,Cherokee,3192,88.65363261
17202,Hamilton,PA,Chambersburg,Franklin,3192,121.5543901
32817,Orlando,FL,Orlando,Orange,3195,157.7181208
12010,Amsterdam,NY,Amsterdam,Montgomery,3196,108.797227
83814,Coeur d'Alene,ID,Coeur d'Alene,Kootenai,3197,245.8270106
11787,Smithtown,NY,New York,Suffolk,3198,270.7286953
39157,Ridgeland,MS,Jackson,Madison,3198,140.5660377
7410,Fair Lawn,NJ,New York,Bergen,3200,268.9667607
44125,Garfield Heights,OH,Cleveland,Cuyahoga,3200,59.05986482
55060,Owatonna,MN,Owatonna,Steele,3202,107.5580252
95993,Yuba City,CA,Yuba City,Sutter,3202,180.6330976
95070,Saratoga,CA,San Jose,Santa Clara,3204,1009.638554
55428,New Hope,MN,Minneapolis-St Paul,Hennepin,3205,201.6827744
47421,Bedford,IN,Bedford,Lawrence,3206,93.98496241
20782,Chillum,MD,Washington,Prince Georges,3207,240.3846154
37086,La Vergne,TN,Nashville,Rutherford,3208,140.2545455
83440,Rexburg,ID,Rexburg,Madison,3209,105.0583965
48089,Warren,MI,Detroit,Macomb,3210,75.53919447
75604,Longview,TX,Longview,Gregg,3211,93.85455787
39208,Pearl,MS,Jackson,Rankin,3212,107.3024055
48101,Allen Park,MI,Detroit,Wayne,3212,123.6763223
67207,Wichita,KS,Wichita,Sedgwick,3214,112.7926421
91739,Rancho Cucamonga,CA,Riverside,San Bernardino,3214,264.3126888
49024,Portage,MI,Kalamazoo,Kalamazoo,3216,123.2833614
29440,Georgetown,SC,Georgetown,Georgetown,3217,108.6448598
27870,Roanoke Rapids,NC,Roanoke Rapids,Halifax,3218,78.81914589
33809,Lakeland,FL,Lakeland,Polk,3218,120.8156063
45431,Beavercreek,OH,Dayton,Greene,3220,99.66755319
33073,Coconut Creek,FL,Miami-Fort Lauderdale,Broward,3221,178.7712059
80302,Boulder,CO,Boulder,Boulder,3222,664
46545,Mishawaka,IN,South Bend,Saint Joseph,3223,104.8850575
37931,Knoxville,TN,Knoxville,Knox,3224,110.3351636
32117,Holly Hill,FL,Daytona Beach,Volusia,3225,117.3913043
72205,Little Rock,AR,Little Rock,Pulaski,3226,116.5037244
80104,Castle Rock,CO,Denver,Douglas,3227,223.9545998
60035,Highland Park,IL,Chicago,Lake,3228,225.5072464
48317,Shelby,MI,Detroit,Macomb,3229,139.7651007
21075,Elkridge,MD,Baltimore,Howard,3230,212.8674242
34114,Naples,FL,Naples,Collier,3231,185.1369863
55912,Austin,MN,Austin,Mower,3231,97.55859375
57104,Sioux Falls,SD,Sioux Falls,Minnehaha,3233,120.2720969
22207,Arlington,VA,Washington,Arlington,3234,478.2608696
