Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
7/31/2018,94167,83442,ID,Idaho Falls,Jefferson,Rigby,6547,217500,-0.010914052,-0.064918315,0.017305893,,,2018-03,2018-Q1,233900,-0.070115434,2017-08
7/31/2018,93821,81623,CO,Glenwood Springs,Garfield,Carbondale,6548,649100,0.010901729,0.041392588,0.131624826,,,2008-05,2008-Q2,654200,-0.007795781,2008-04
7/31/2018,100078,99037,WA,Spokane,Spokane,Spokane Valley,6549,281700,0.004278075,0.014404033,0.112120016,,,2018-07,2018-Q3,281700,0,2018-07
7/31/2018,58874,2723,MA,Providence,Bristol,Fall River,6550,228500,-0.000874508,0.014653641,0.101735776,,,2005-06,2005-Q2,244800,-0.066584967,2004-10
7/31/2018,64675,16648,PA,Altoona,Blair,Frankstown,6551,173800,-0.007424329,-0.01529745,-0.000575043,,,2018-04,2018-Q2,176500,-0.01529745,2017-12
7/31/2018,71253,30642,GA,,Greene,Greensboro,6552,370700,0.000809935,0.005151844,-0.063415867,,,2007-10,2007-Q4,425600,-0.128994361,2006-01
7/31/2018,89290,72002,AR,Little Rock,Saline,Shannon Hills,6553,157000,-0.003174603,0.001914486,0.041114058,,,2018-01,2018-Q1,157900,-0.00569981,2017-12
7/31/2018,95911,89433,NV,Reno,Washoe,Sun Valley,6554,277100,0.00800291,0.020626151,0.124137931,,,2005-12,2005-Q4,283500,-0.022574956,2005-08
7/31/2018,60905,8008,NJ,New York,Ocean,Long Beach,6555,862500,0.010071437,0.021193464,0.073428749,,,2006-09,2006-Q3,938100,-0.080588423,2005-08
7/31/2018,94228,83617,ID,Boise City,Gem,Emmett,6556,213500,0.00802644,0.03892944,0.117801047,,,2018-07,2018-Q3,213500,0,2018-07
7/31/2018,90936,75474,TX,Dallas-Fort Worth,Hunt,West Tawakoni,6557,95900,0.012671595,0.051535088,0.165249089,,,2018-07,2018-Q3,95900,0,2018-07
