Zip,City,State,Metro,CountyName,SizeRank,Latitude,Longitude
77954,Cuero,TX,,De Witt,7809,29.093677,-97.260776
27298,Liberty,NC,Greensboro,Randolph,7810,35.885115,-79.567545
77418,Bellville,TX,Houston,Austin,7811,29.95023,-96.25719
49097,Vicksburg,MI,Kalamazoo,Kalamazoo,7812,42.12005,-85.53278
97862,Milton Freewater,OR,Hermiston-Pendleton,Umatilla,7813,45.93263,-118.38774
24293,Wise,VA,Big Stone Gap,Wise,7814,37.002843,-82.570697
46405,Lake Station,IN,Chicago,Lake,7815,41.57504,-87.23892
55807,Duluth,MN,Duluth,Saint Louis,7815,46.735978,-92.17764
65049,Village of Four Seasons,MO,,Camden,7815,38.198087,-92.711021
35228,Midfield,AL,Birmingham,Jefferson,7818,33.461497,-86.908881
17102,Harrisburg,PA,Harrisburg,Dauphin,7819,40.272538,-76.890695
32561,Gulf Breeze,FL,Pensacola,Santa Rosa,7819,30.347061,-87.113185
63935,Doniphan,MO,,Oregon,7819,36.650121,-90.810644
80549,Wellington,CO,Fort Collins,Larimer,7819,40.795455,-105.085627
37764,Sevierville,TN,Sevierville,Sevier,7823,35.974032,-83.602564
77518,Bacliff,TX,Houston,Galveston,7824,29.50782,-94.98783
36604,Mobile,AL,Mobile,Mobile,7825,30.684039,-88.067048
57005,Brandon,SD,Sioux Falls,Minnehaha,7825,43.5947,-96.57199
14103,Medina,NY,Rochester,Orleans,7827,43.239442,-78.359871
28621,Elkin,NC,Mount Airy,Surry,7828,36.318035,-80.799944
77068,Houston,TX,Houston,Harris,7828,30.007063,-95.488362
78362,Ingleside,TX,Corpus Christi,San Patricio,7830,27.8778,-97.21166
91108,San Marino,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,7830,34.122671,-118.112911
7974,New Providence,NJ,New York,Union,7832,40.697851,-74.405595
23664,Hampton,VA,Virginia Beach,Hampton City,7833,37.078374,-76.289825
92657,Newport Coast,CA,Los Angeles-Long Beach-Anaheim,Orange,7833,33.597128,-117.835987
19444,Whitemarsh,PA,Philadelphia,Montgomery,7835,40.08526,-75.257423
84066,Roosevelt,UT,,Duchesne,7836,40.266539,-110.106937
61072,Rockton,IL,Rockford,Winnebago,7837,42.45252,-89.07233
3077,Raymond,NH,Boston,Rockingham,7838,43.05932,-71.204521
11755,Lake Grove,NY,New York,Suffolk,7838,40.85185,-73.129003
3570,Berlin,NH,Berlin,Coos,7840,44.512344,-71.194226
49112,Edwardsburg,MI,South Bend,Cass,7841,41.807011,-85.997234
35064,Fairfield,AL,Birmingham,Jefferson,7842,33.475407,-86.925391
77423,Brookshire,TX,Houston,Waller,7842,29.85915,-95.98022
28731,Flat Rock,NC,Asheville,Henderson,7844,35.297055,-82.403731
44481,Lordstown,OH,Youngstown,Trumbull,7844,41.176641,-80.902344
46259,Indianapolis,IN,Indianapolis,Marion,7844,39.667045,-85.998092
64137,Kansas City,MO,Kansas City,Jackson,7847,38.935256,-94.547178
7853,Long Valley,NJ,New York,Morris,7848,40.806849,-74.794595
7436,Oakland,NJ,New York,Bergen,7849,41.023402,-74.238623
33170,Goulds,FL,Miami-Fort Lauderdale,Miami-Dade,7849,25.87248,-80.094372
32095,Saint Augustine,FL,Jacksonville,Saint Johns,7851,29.988605,-81.37166
82240,Torrington,WY,,Goshen,7851,42.072314,-104.187474
99623,Knik-Fairview,AK,Anchorage,Matanuska Susitna,7853,61.457778,-149.728889
82633,Douglas,WY,,Converse,7854,42.894084,-105.389691
6798,Woodbury,CT,Torrington,Litchfield,7855,41.54454,-73.209
23002,Amelia Court House,VA,Richmond,Amelia,7856,37.342768,-77.984092
87048,Corrales,NM,Albuquerque,Sandoval,7857,35.23782,-106.60669
8824,South Brunswick,NJ,New York,Middlesex,7858,40.422955,-74.549761
14006,Lake Erie Beach,NY,Buffalo,Erie,7859,42.624226,-79.066983
34240,Sarasota,FL,North Port-Sarasota-Bradenton,Sarasota,7859,27.364656,-82.318479
46550,Nappanee,IN,Elkhart,Elkhart,7859,41.44283,-86.00139
4769,Presque Isle,ME,,Aroostook,7862,46.715072,-68.012557
30427,Glennville,GA,,Tattnall,7862,32.066649,-82.012344
13165,Waterloo,NY,Seneca Falls,Seneca,7864,42.892556,-76.882263
39666,Summit,MS,McComb,Pike,7865,31.28379,-90.46843
47978,Rensselaer,IN,Chicago,Jasper,7865,40.994793,-87.10368
20695,White Plains,MD,Washington,Charles,7867,38.59744,-76.990278
60915,Bradley,IL,Kankakee,Kankakee,7867,41.14198,-87.86115
19312,Easttown,PA,Philadelphia,Chester,7869,40.030058,-75.45644
7078,Short Hills,NJ,New York,Essex,7870,40.74055,-74.334443
2052,Medfield,MA,Boston,Norfolk,7871,42.181265,-71.309934
68133,Papillion,NE,Omaha,Sarpy,7872,41.138501,-96.026719
44026,Chesterland,OH,Cleveland,Geauga,7873,41.530351,-81.307472
3857,Newmarket,NH,Boston,Rockingham,7874,43.07535,-70.9392
28730,Fairview,NC,Asheville,Buncombe,7874,35.542261,-82.406757
36467,Opp,AL,,Covington,7876,31.28267,-86.25551
