Zip,City,State,Metro,CountyName,SizeRank,Latitude,Longitude,ForecastYoYPctChange,MedianPrice,Zhvi,MoM,QoQ,YoY,PeakZHVI,PctFallFromPeak,PriceToRentRatio,MarketHealthIndex,SellForGain,NegativeEquity,Delinquency,DaysOnMarket,MedianPricePerSqft
83605,Caldwell,ID,Boise City,Canyon,3032,43.661908,-116.65629,-0.783200908,197690,176200,0.012643678,0.044457617,0.177807487,176200,0,13.07,7.300677076,90.48,0.028374436,0.009345794,42.5,113.9269895
83607,Caldwell,ID,Boise City,Canyon,4086,43.618618,-116.750109,-0.990962494,291990,221300,0.013742556,0.052806851,0.202064096,221300,0,14.62,6.893049606,86.21,0.035044423,0.021126761,50,144.9080622
8361,Vineland,NJ,Vineland,Cumberland,6241,39.455944,-75.006813,1.714439077,190000,186300,-0.001607717,0.002151694,0.018032787,245800,-0.242066721,9.98,1.076412878,100,0.08399848,0.135746606,101,108.9482886
83616,Eagle,ID,Boise City,Ada,3586,43.735179,-116.41033,-0.661628694,489900,443300,-0.000450958,0.016976371,0.100819469,443500,-0.000450958,16.25,3.670029018,80,0.036020992,0.013245033,60.5,183.4821709
83617,Emmett,ID,Boise City,Gem,6307,43.908876,-116.492657,0.625761124,229950,213500,0.00802644,0.03892944,0.117801047,213500,0,14.08,9.698079315,,0.032013022,0,65,140.9017713
83619,Fruitland,ID,Ontario,Payette,8755,43.974615,-116.900775,3.497786522,269250,203300,0.005937655,0.027805865,0.091836735,203300,0,12.48,8.796462623,,0.03030303,0,56,135.6428571
83634,Kuna,ID,Boise City,Ada,5591,43.459904,-116.338457,0.124565972,264152.5,230400,0.005235602,0.039242219,0.105566219,230400,0,12.6,6.724471466,94.74,0.025310174,0.019607843,49,148.7574379
83644,Middleton,ID,Boise City,Canyon,7772,43.70683,-116.62014,-1.341577825,284900,234500,0.008602151,0.039450355,0.182551689,234500,0,14.76,9.260743402,100,0.023553507,0,49.5,142.1832518
83646,Meridian,ID,Boise City,Ada,576,43.667135,-116.393621,-0.041608877,344900,288400,0.008744316,0.035547576,0.100763359,288400,0,14.81,7.120353738,86.89,0.032335675,0.014880952,47.5,161.447286
83647,Mountain Home,ID,Mountain Home,Elmore,5032,43.156195,-115.720455,-4.741400491,193000,162800,0.006802721,0.027129338,0.091884641,167300,-0.026897788,12.24,3.508359818,,0.096002988,0.015564202,54.5,116.0321448
83651,Nampa,ID,Boise City,Canyon,3489,43.595567,-116.61063,-0.50351922,198900,184700,0.010946907,0.042325056,0.174189447,184700,0,13.14,7.252314495,95.83,0.032085561,0.023809524,44,128.6906087
83661,Payette,ID,Ontario,Payette,8034,44.063604,-116.750704,3.212837838,175000,148000,0.006118287,0.024221453,0.069364162,148000,0,10.95,7.351803233,,0.034514078,0,50,105.1198801
83669,Star,ID,Boise City,Ada,7928,43.678556,-116.49336,-1.324625677,388650,313900,-0.002542104,0.010624598,0.102176966,323500,-0.029675425,14.29,5.790382755,100,0.040533607,0.025316456,60,166.4801977
83686,Nampa,ID,Boise City,Canyon,1176,43.549984,-116.612678,-0.344745602,279945,210300,0.010086455,0.036471168,0.127613941,210300,0,13.98,7.173552577,88,0.03364486,0.003968254,45,138.9403483
83687,Nampa,ID,Boise City,Canyon,3492,43.588516,-116.571477,-0.782608696,264900,209300,0.010622887,0.033580247,0.146221249,209300,0,13.61,8.005388973,100,0.030088899,0.022727273,41.5,147.4205753
83702,Boise,ID,Boise City,Ada,3572,43.661963,-116.195004,0.678808706,478500,436500,0.010884669,0.047013672,0.126451613,436500,0,18,8.61199392,83.33,0.044091073,0,46,328.9473684
83704,Boise,ID,Boise City,Ada,1340,43.641467,-116.290009,-0.554725275,244900,227500,0.012010676,0.053240741,0.151898734,227500,0,14.72,8.247892773,95,0.029034556,0.018404908,42,162.5722543
83705,Boise,ID,Boise City,Ada,2919,43.565639,-116.223203,-1.00947226,245000,221700,0.011405109,0.054208274,0.15770235,221700,0,15.34,9.564045875,100,0.035136642,0,40,199.3464052
83706,Boise,ID,Boise City,Ada,1762,43.806574,-116.552759,-0.661521499,309850,272100,0.010397326,0.048959136,0.156887755,272100,0,16.17,8.156003869,90.91,0.034722222,0,38,197.9475047
83709,Boise,ID,Boise City,Ada,596,43.558127,-116.276002,-0.174322289,289950,265600,0.008352316,0.039123631,0.115966387,265600,0,15.55,6.132375294,95.83,0.027547679,0.020979021,40,157.0488766
83713,Boise,ID,Boise City,Ada,3756,43.634002,-116.341948,-0.313409962,274900,261000,0.008890607,0.040255082,0.123063683,261000,0,14.97,7.61779743,74.07,0.028831563,0,43,155.8792248
83714,Garden City,ID,Boise City,Ada,3964,43.732675,-116.288433,0.59327669,359000,270700,0.007818317,0.042758089,0.087585376,270700,0,15.24,6.915849109,100,0.032661783,0.028037383,43,180.2721076
83716,Boise,ID,Boise City,Ada,5877,43.638741,-116.062905,-0.578978622,426200,336800,0.00417412,0.039827107,0.142082062,336800,0,16.23,5.699184745,92.31,0.039785286,0.007936508,41,191.6996915
83801,Athol,ID,"Coeur d'Alene",Kootenai,9049,47.922361,-116.686007,0.168511066,427000,397600,0.010676157,0.05885486,0.168037603,397600,0,18.86,9.273179494,,0.02173913,0,50,206.3282769
83805,Bonners Ferry,ID,,Boundary,8294,48.814078,-116.398202,6.12605042,257000,238000,0.04020979,0.075463172,0.178801387,238000,0,16.34,9.975127815,,0.029772329,0,96.5,148.5788114
83815,"Coeur d'Alene",ID,"Coeur d'Alene",Kootenai,2053,47.726282,-116.789948,2.869879518,325000,290500,0.008330441,0.037129597,0.148675366,290500,0,14.99,8.657592925,,0.034939236,0.01863354,47,160.9987458
83835,Hayden,ID,"Coeur d'Alene",Kootenai,4126,47.798886,-116.742254,2.517074645,423750,330900,0.007305936,0.028598073,0.160645388,330900,0,15.79,9.431394224,,0.030110405,0,51,176.7665294
83854,Post Falls,ID,"Coeur d'Alene",Kootenai,1401,47.719292,-116.96746,4.822822823,300450,266400,0.012927757,0.041845913,0.15374621,266400,0,14.59,9.234489429,,0.030713795,0.011173184,45,156.3866589
83858,Rathdrum,ID,"Coeur d'Alene",Kootenai,6533,47.845814,-116.839411,4.813704497,315000,280200,0.01191766,0.046694061,0.200514139,280200,0,15.7,9.918474506,,0.024185068,0,59,165.7161804
83864,Sandpoint,ID,Sandpoint,Bonner,5022,48.299486,-116.553968,6.023566379,379000,254600,-0.006245121,0.002362205,-0.005080109,262500,-0.030095238,14.19,1.350006909,,0.086892489,0.005649718,61.5,213.5714286
84003,American Fork,UT,Provo,Utah,2681,40.395796,-111.803101,4.05950541,435000,388200,0.007526603,0.031623704,0.110094367,388200,0,17.37,8.006079867,,0.047794118,0.003496503,44,204.156362
84005,Eagle Mountain,UT,Provo,Utah,5580,40.31412,-112.00688,4.888020019,328000,319700,0.00756382,0.033624313,0.124912034,319700,0,15.68,8.21127539,,0.044319098,0.013636364,41,152.4432105
84010,Bountiful,UT,Ogden,Davis,1648,40.874038,-111.870994,6.569815805,365000,336600,0.019073569,0.079538165,0.157496561,336600,0,15.31,9.09354705,92.86,0.041903524,0.007751938,41,232.3519873
84014,Centerville,UT,Ogden,Davis,7022,40.929547,-111.889651,5.699586207,359900,362500,0.020551802,0.073120189,0.173898964,362500,0,15.45,9.857675833,100,0.031043046,0,43,192.6386794
84015,Clearfield,UT,Ogden,Davis,638,41.120367,-112.06076,7.272409779,270000,257700,0.014167651,0.067522784,0.182110092,257700,0,14.04,9.81760398,100,0.033124265,0.00591716,42,193.6912009
8402,Margate City,NJ,Atlantic City,Atlantic,7917,39.32789,-74.50349,5.247316445,499000,465800,0.008443386,0.022837066,0.047683311,601500,-0.22560266,5.74,6.772143153,66.67,0.065217391,0.035087719,254.5,330.610385
84020,Draper,UT,Salt Lake City,Salt Lake,1943,40.506148,-111.869671,4.168459509,525000,492700,0.005099959,0.016924665,0.102237136,492700,0,17.55,6.972502418,,0.052943058,0.012084592,51,205.5555556
84025,Farmington,UT,Ogden,Davis,6128,40.969069,-111.907344,5.716436028,424900,411900,0.013533465,0.037792895,0.139419087,411900,0,15.96,9.904656626,100,0.04034761,0,49,185.0488797
8403,Longport,NJ,Atlantic City,Atlantic,9870,39.31428,-74.52488,6.098627557,767250,743200,0.022986924,0.048236953,0.00704607,982800,-0.243793244,11.03,9.16401824,100,0.033057851,0,113,504.2915925
84032,Heber City,UT,Heber,Wasatch,5944,40.517678,-111.348882,3.150138087,579900,398300,0.005046682,0.004539723,0.057059448,398300,0,16.67,7.205333702,,0.047135311,0,58.5,263.3690482
84037,Kaysville,UT,Ogden,Davis,3830,41.03522,-111.93855,6.467937162,482450,388300,0.010145682,0.028336864,0.119988463,388300,0,15.53,7.569434849,80,0.034495618,0.021621622,43,212.4714114
84040,Layton,UT,Ogden,Davis,5537,41.088889,-111.92614,8.172843166,369450,337300,0.013217182,0.051433915,0.104091653,337300,0,15,8.050987978,77.78,0.036199095,0.020833333,46,185.2716391
