RegionType,RegionName,City,State,Metro,CBSATitle,SizeRank,MarketHealthIndex,SellForGain,PrevForeclosed,ForeclosureRatio,ZHVI,MoM,YoY,ForecastYoYPctChange,StockOfREOs,NegativeEquity,Delinquency,DaysOnMarket
Zip,90023,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,7.490672931,100,,,403900,0.248200546,4.664420834,0.10194355,,0.07761194,0.038461538,59
Zip,90024,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,8.387453365,100,1.7242,,1242400,-0.631848356,6.634623637,0.041489858,,0.064028457,0.006944444,65
Zip,90025,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,6.620837364,100,1.9231,,962300,-0.269457975,6.472670945,0.012430635,,0.05106383,0.006944444,47
Zip,90026,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.943346691,100,,,937000,0.525694668,9.488198177,0.063348986,,0.027884615,0,63
Zip,90027,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.768550504,100,,2.0601,1532500,0.551144938,9.817269796,0.021040131,,0.025903614,0,62
Zip,90028,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,8.850352356,100,,,884100,0.740656335,1.725923369,0.061257776,,0.098802395,0,59
Zip,90029,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.953019207,100,,,888200,0.531975099,13.34864727,0.090526908,,0.035799523,0,59
Zip,90031,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.912947354,100,,3.003,607500,0.529538309,14.34217956,0.086396708,,0.05,0,67.5
Zip,90032,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.709824513,100,,,596300,0.488709134,12.53066616,0.082552407,,0.032612009,0.028037383,56
Zip,90033,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.899129474,100,,,466200,0.387596899,12.01345507,0.073071643,,0.041254125,0,59
Zip,90034,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.812076827,100,,,1273300,0.323038134,10.62554301,0.064316343,,0.023048928,0.01754386,60
Zip,90035,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.966837087,100,,,1493800,0.416778704,16.67577911,0.075382916,,0.028681743,0,62.5
Zip,90036,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,5.665330938,100,3.5673,,1732100,-0.224654378,2.837974233,0.025072455,,0.030146425,0.028571429,59
Zip,90037,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,6.929666989,100,,,442300,0.226603218,12.00303874,0.062695003,,0.055486284,0.04494382,63
Zip,90038,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.874257289,100,,,1006900,0.901893977,9.042668399,0.086505115,,0.076086957,0,59
Zip,90039,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,8.732209479,93.33,,,912900,0.495376486,4.786501377,0.066076241,,0.025254763,0.01754386,53
Zip,90040,Commerce,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,7.04850076,,,,438600,0.205620288,6.923451975,0.084154127,,0.056962025,0.044444444,57
Zip,90041,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.947492055,100,3.4066,,890100,0.872620127,9.483394834,0.091330188,,0.019360269,0,48.5
Zip,90042,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.821749344,100,6.639,,747500,0.619195046,10.64239195,0.087487625,,0.03318872,0,48.5
Zip,90043,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,5.576896504,87.5,10.7083,2.0152,650600,0,8.741434063,0.052868122,,0.039141973,0.02259887,64
Zip,90044,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,5.857399475,90,6.5545,0.9496,418400,0.071753169,9.214304359,0.059722753,,0.06404908,0.053639847,79
Zip,90045,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.635898853,100,,0.7257,1164000,0.129032258,7.192190809,0.049797251,,0.020843551,0.011764706,55
Zip,90046,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,8.394362305,90.62,3.118,1.1836,1452400,0.137892995,6.676459787,0.055965987,,0.044200849,0.008,59
Zip,90047,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,5.016581456,91.67,11.6077,2.0747,482100,0.207856994,12.43003731,0.07053101,,0.045643939,0.037344398,62
Zip,90048,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.032748376,100,4.119,,1750800,0.240467193,2.332105909,0.054776674,,0.046391753,0,62
Zip,90049,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,8.176039795,93.94,,0.7118,2697900,0.167075072,5.729513658,0.025411987,,0.029304029,0.009615385,64
Zip,90056,Ladera Heights,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.207544563,100,8.3333,,1239200,0.723400797,20.76795634,0.07852889,,0.029774127,0.068965517,57
Zip,90057,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,7.39602045,100,,,462400,0.064921013,8.825606025,0.051870675,,0.039370079,0.1,59
Zip,90059,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,7.008428907,91.67,9.069,1.277,369500,0.516866159,10.29850746,0.101526387,,0.07810219,0.037383178,74.5
Zip,90061,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,8.461379024,100,,,383800,0.235048315,6.729699666,0.10156592,,0.066461538,0.037037037,59
Zip,90062,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.004421722,100,13.0769,,547200,1.12733321,17.29903537,0.102807018,,0.036125654,0.072463768,69
Zip,90063,East Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,7.626088158,100,,2.3826,446700,0.179412424,8.238429852,0.080317887,,0.052160169,0.03030303,55
